,Date,Close,Diff,Open,High,Low,Volume
1377,2018-05-10,6145,5,6150,6175,6145,1105
1376,2018-05-11,6175,30,6150,6180,6150,99
1375,2018-05-14,6130,45,6130,6130,6120,617
1374,2018-05-15,6160,30,6130,6160,6130,240
1370,2018-05-16,6135,25,6105,6135,6105,540
1369,2018-05-17,6165,30,6165,6165,6160,400
1368,2018-05-18,6125,40,6125,6125,6125,227
1367,2018-05-21,6105,20,6080,6105,6080,426
1366,2018-05-23,6155,50,6125,6155,6125,375
1363,2018-05-24,6070,85,6090,6095,6070,949
1362,2018-05-25,6130,60,6135,6135,6105,3326
1361,2018-05-28,6105,25,6075,6105,6075,157
1360,2018-05-29,6105,0,6105,6105,6105,1
1359,2018-05-30,6090,15,6120,6120,6090,374
1355,2018-05-31,6075,15,6075,6075,6075,2175
1354,2018-06-01,6110,35,5990,6115,5990,5536
1353,2018-06-04,6160,50,6225,6225,6160,1733
1352,2018-06-05,6230,70,6200,6230,6200,2555
1351,2018-06-07,6345,115,6250,6375,6250,2423
1348,2018-06-08,6350,5,6350,6380,6350,4055
1347,2018-06-11,6335,15,6350,6350,6315,1075
1346,2018-06-12,6295,40,6335,6335,6295,814
1345,2018-06-14,6280,15,6280,6280,6280,49
1344,2018-06-15,6220,60,6280,6280,6200,53
1340,2018-06-18,6080,140,6170,6170,6080,4926
1339,2018-06-19,6070,10,6100,6100,6070,857
1338,2018-06-20,5970,100,6060,6060,5820,1356
1337,2018-06-21,5920,50,5920,5925,5920,241
1336,2018-06-22,5960,40,5945,5960,5945,360
1333,2018-06-25,5960,0,5960,5960,5960,10
1332,2018-06-26,5890,70,5920,5920,5890,475
1331,2018-06-27,5910,20,5910,5910,5880,106
1330,2018-06-28,5915,5,5910,5915,5910,2
1329,2018-06-29,5830,85,5855,5855,5830,26
1325,2018-07-02,5830,0,5820,5830,5820,53
1324,2018-07-03,5735,95,5805,5805,5735,209
1323,2018-07-04,5705,30,5730,5730,5700,207
1322,2018-07-05,5695,10,5700,5700,5695,122
1321,2018-07-06,5565,130,5680,5680,5560,376
1318,2018-07-09,5565,0,5565,5570,5555,542
1317,2018-07-10,5700,135,5700,5700,5700,278
1316,2018-07-11,5620,80,5620,5620,5620,55
1315,2018-07-12,5470,150,5470,5470,5465,540
1314,2018-07-13,5530,60,5530,5530,5520,148
1310,2018-07-16,5490,40,5470,5490,5470,532
1309,2018-07-17,5485,5,5465,5485,5465,234
1308,2018-07-18,5415,70,5465,5465,5415,1103
1307,2018-07-19,5440,25,5440,5440,5440,2
1306,2018-07-20,5355,85,5415,5415,5355,479
1303,2018-07-23,5440,85,5440,5440,5440,79
1302,2018-07-24,5455,15,5440,5460,5440,108
1301,2018-07-25,5570,115,5520,5570,5520,364
1300,2018-07-26,5530,40,5570,5570,5500,197
1299,2018-07-27,5550,20,5530,5550,5520,192
1295,2018-07-30,5530,20,5550,5550,5530,282
1294,2018-07-31,5520,10,5530,5530,5520,51
1293,2018-08-01,5575,55,5570,5575,5570,133
1292,2018-08-02,5455,120,5575,5575,5445,179
1291,2018-08-03,5425,30,5455,5455,5400,167
1288,2018-08-06,5425,0,5425,5425,5425,0
1287,2018-08-07,5440,15,5425,5440,5415,74
1286,2018-08-08,5460,20,5460,5460,5460,204
1285,2018-08-09,5550,90,5520,5550,5520,70
1284,2018-08-10,5505,45,5505,5505,5505,1362
1280,2018-08-13,5520,15,5520,5550,5520,142
1279,2018-08-14,5490,30,5570,5570,5490,33
1278,2018-08-16,5245,245,5250,5250,5240,4527
1277,2018-08-17,5365,120,5365,5365,5335,80
1276,2018-08-20,5315,50,5320,5320,5310,584
1273,2018-08-21,5385,70,5355,5385,5355,261
1272,2018-08-22,5385,0,5385,5405,5385,129
1271,2018-08-23,5385,0,5395,5395,5385,2
1270,2018-08-24,5375,10,5360,5375,5360,105
1269,2018-08-27,5460,85,5375,5460,5375,4168
1265,2018-08-28,5465,5,5465,5465,5435,5704
1264,2018-08-29,5515,50,5480,5515,5480,135
1263,2018-08-30,5530,15,5530,5530,5530,1
1262,2018-08-31,5460,70,5530,5530,5460,35
1261,2018-09-03,5395,65,5400,5400,5395,30
1258,2018-09-04,5420,25,5405,5420,5405,39
